question,axis,method,ran,stopped_because,labels_scored,mean_f1,best_f1,best_label,genes_named,corroborated,groups
Which genes are needed to persist in the mouse brain at 14 days but are dispensable for growth in culture?,life-cycle stage and conversion,propagation:struct,True,,3,0.46965752777980296,0.48621856866537716,"(-0.36, 0.53]",0,0,3
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",life-cycle stage and conversion,umap+hdbscan,True,,3,0.05819519466116349,0.06454816285998013,"(-0.74, 0.15]",0,0,88
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",life-cycle stage and conversion,logistic,True,,3,0.4154051512369541,0.46012156934978815,"(0.15, 4.97]",0,0,3
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",life-cycle stage and conversion,propagation:xlms,True,,3,0.477705561179418,0.4906004329497551,"(0.15, 4.97]",0,0,3
"Which transcripts does the BFD2 switch hold, and are they the bradyzoite programme?",life-cycle stage and conversion,propagation:struct,True,,3,0.46981075723340926,0.5004154302670623,"(0.15, 4.97]",0,0,3
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",relationships between genes,umap+hdbscan,True,,2,0.16722585924713584,0.2127659574468085,3.1.3.16 (Protein-serine/threonine phosphatase),0,0,21
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",relationships between genes,logistic,True,,11,0.09809798515257086,0.15286624203821658,3.6.3.14 (Transferred entry: 7.1.2.2),0,0,11
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",relationships between genes,propagation:xlms,True,,11,0.14124871494658303,0.3880597014925374,3.6.3.14 (Transferred entry: 7.1.2.2),275,107,11
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",relationships between genes,propagation:struct,True,,11,0.5143603107037629,0.9696969696969697,"6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)",306,0,10
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",relationships between genes,umap+hdbscan,True,,1,0.19444444444444445,0.19444444444444445,OG6_106689,0,0,86
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",relationships between genes,logistic,True,,10,0.04331877227047397,0.0784313725490196,OG6_106689,0,0,10
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",relationships between genes,propagation:xlms,True,,10,0.023922053554311866,0.125,OG6_117745,0,0,4
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",relationships between genes,propagation:struct,True,,10,0.22829214698034858,0.6865671641791046,OG6_108688,0,0,7
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",relationships between genes,umap+hdbscan,True,,2,0.06624085147625408,0.0685763888888889,0,0,0,114
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",relationships between genes,logistic,True,,2,0.7480538086804058,0.790136089225417,1,0,0,2
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",relationships between genes,propagation:xlms,True,,2,0.6685146740585335,0.7385270462072229,1,0,0,2
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",relationships between genes,propagation:struct,True,,2,0.6574659224964731,0.710348162475822,1,0,0,2
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,relationships between genes,umap+hdbscan,True,,3,0.2319005280430708,0.27450980392156865,"(1.5, 1.81]",0,0,21
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,relationships between genes,logistic,True,,3,0.37875493409329747,0.38283062645011606,"(1.81, 2.22]",0,0,3
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,relationships between genes,propagation:xlms,True,,3,0.46656188847328883,0.4825493171471927,"(1.5, 1.81]",0,0,3
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,relationships between genes,propagation:struct,True,,3,0.48069446004699656,0.4908321579689704,"(1.5, 1.81]",0,0,3
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",fitness and essentiality,umap+hdbscan,True,,3,0.0980699726543849,0.116421568627451,"(0.16, 2.96]",55,34,95
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",fitness and essentiality,logistic,True,,3,0.5909631291683582,0.7051482059282372,"(0.16, 2.96]",294,0,3
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",fitness and essentiality,propagation:xlms,True,,3,0.47458704222637954,0.5095074997047361,"(0.16, 2.96]",0,0,3
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",fitness and essentiality,propagation:struct,True,,3,0.467092283184532,0.483459936290125,"(-2.5, 0.16]",0,0,3
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,fitness and essentiality,umap+hdbscan,True,,3,0.10224337441128883,0.14659090909090908,"(-8.5, -3.02]",13,0,57
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,fitness and essentiality,logistic,True,,3,0.46617279677009044,0.524888558692422,"(-8.5, -3.02]",0,0,3
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,fitness and essentiality,propagation:xlms,True,,3,0.48753099078134854,0.5009605122732124,"(-8.5, -3.02]",0,0,3
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,fitness and essentiality,propagation:struct,True,,3,0.4732227023142576,0.48081134032499706,"(-1.19, 5.53]",0,0,3
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,fitness and essentiality,umap+hdbscan,True,,3,0.06941380891193123,0.08840579710144927,"(-835.71, -1.93]",0,0,74
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,fitness and essentiality,logistic,True,,3,0.4366236434528893,0.5384025755020696,"(-835.71, -1.93]",0,0,3
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,fitness and essentiality,propagation:xlms,True,,3,0.4832384566729918,0.49782341779216427,"(-1.93, -0.0081]",0,0,3
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,fitness and essentiality,propagation:struct,True,,3,0.47489010775275214,0.47963589683743735,"(-1.93, -0.0081]",0,0,3
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",metabolism,umap+hdbscan,True,,2,0.11701954920674842,0.13746630727762804,1.0,0,0,45
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",metabolism,logistic,True,,2,0.6832430817422552,0.7440696972310878,0.0,0,0,2
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",metabolism,propagation:xlms,True,,2,0.7902699108622392,0.8936229462545252,0.0,0,0,2
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",metabolism,propagation:struct,True,,2,0.8708389113791898,0.9301132720666809,0.0,0,0,2
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,metabolism,umap+hdbscan,True,,3,0.07340493110085523,0.07816862088218873,"(-6.18, -0.69]",3,0,101
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,metabolism,logistic,True,,3,0.4820715770770584,0.5414129110840439,"(-6.18, -0.69]",0,0,3
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,metabolism,propagation:xlms,True,,3,0.47897350237046576,0.49388081894086705,"(-0.16, 2.22]",0,0,3
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,metabolism,propagation:struct,True,,3,0.47328832485540123,0.484562809333019,"(-0.16, 2.22]",0,0,3
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,regulation and chromatin,umap+hdbscan,True,,3,0.0868012621570872,0.09345794392523364,"(-11.56, -0.68]",39,1,62
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,regulation and chromatin,logistic,True,,3,0.4979128615823797,0.5014949172812437,"(-11.56, -0.68]",0,0,3
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,regulation and chromatin,propagation:xlms,True,,3,0.4805359786711717,0.4926486256126146,"(-11.56, -0.68]",0,0,3
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,regulation and chromatin,propagation:struct,True,,3,0.4730401856615027,0.4931263858093127,"(-11.56, -0.68]",0,0,3
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",regulation and chromatin,umap+hdbscan,True,,3,0.04539189665506216,0.05482134116495349,"(1.41, 3.36]",0,0,124
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",regulation and chromatin,logistic,True,,3,0.4600871809469911,0.5116734693877552,"(1.41, 3.36]",0,0,3
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",regulation and chromatin,propagation:xlms,True,,3,0.4769219063289603,0.5091786426098814,"(-6.6499999999999995, 0.84]",0,0,3
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",regulation and chromatin,propagation:struct,True,,3,0.47011958798876113,0.4967945235249375,"(-6.6499999999999995, 0.84]",0,0,3
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,host interaction,umap+hdbscan,True,,2,0.4849497100814217,0.5681818181818181,1.0,83,0,22
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,host interaction,logistic,True,,2,0.9589838696313332,0.9754445385266723,0.0,529,0,2
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,host interaction,propagation:xlms,True,,2,0.9503892207495461,0.9737827715355805,0.0,163,0,2
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,host interaction,propagation:struct,True,,2,0.9273938296556368,0.9671862182116489,0.0,0,0,2
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,host interaction,umap+hdbscan,True,,3,0.06314781266597624,0.06957547169811322,"(-4.2, 0.14]",14,12,102
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,host interaction,logistic,True,,3,0.49464042815388376,0.544569288389513,"(-4.2, 0.14]",0,0,3
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,host interaction,propagation:xlms,True,,3,0.47484771669043563,0.5098542274052478,"(-4.2, 0.14]",0,0,3
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,host interaction,propagation:struct,True,,3,0.473042455957584,0.500058858151854,"(-4.2, 0.14]",0,0,3
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,fitness and essentiality,umap+hdbscan,True,,3,0.04949945778776622,0.05514912774338774,"(-3.98, -0.44]",0,0,114
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,fitness and essentiality,logistic,True,,3,0.41004389677782616,0.45954931658662734,"(-3.98, -0.44]",0,0,3
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,fitness and essentiality,propagation:xlms,True,,3,0.4820478810128987,0.5166520595968448,"(-0.44, -0.041]",0,0,3
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,fitness and essentiality,propagation:struct,True,,3,0.47409757181338674,0.5200045594437478,"(-0.44, -0.041]",0,0,3
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",fitness and essentiality,umap+hdbscan,True,,3,0.05350566024423492,0.05941704035874439,"(-488.0, -1.14]",0,0,102
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",fitness and essentiality,logistic,True,,3,0.4412396395639881,0.5065227170490328,"(-488.0, -1.14]",0,0,3
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",fitness and essentiality,propagation:xlms,True,,3,0.47756041426927504,0.4936708860759494,"(-1.14, 0.0022]",0,0,3
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",fitness and essentiality,propagation:struct,True,,3,0.46886535066602464,0.479297063071738,"(-1.14, 0.0022]",0,0,3
