question,axis,expect_refusal,ran,stopped_because,clusters,settings,labels_scored,mean_f1,best_f1,best_label,genes_named,genes_corroborated,note,seconds
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",fitness and essentiality,False,True,,95,"{""n_neighbors"": 5, ""min_dist"": 0.0, ""min_cluster_size"": 25, ""min_samples"": 5}",3,0.0980699726543849,0.116421568627451,"(0.16, 2.96]",55,34,,70.9
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,fitness and essentiality,False,True,,57,"{""n_neighbors"": 15, ""min_dist"": 0.0, ""min_cluster_size"": 40, ""min_samples"": 5}",3,0.10224337441128883,0.14659090909090908,"(-8.5, -3.02]",13,0,,73.9
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,fitness and essentiality,False,True,,74,"{""n_neighbors"": 30, ""min_dist"": 0.0, ""min_cluster_size"": 25, ""min_samples"": 5}",3,0.06941380891193123,0.08840579710144927,"(-835.71, -1.93]",0,0,"no cluster reached 2.0x enrichment at 0.30 purity; the best scoreable cluster was 1.8x at 0.60 purity ((-0.0081, 410.59])",81.1
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",metabolism,False,True,,45,"{""n_neighbors"": 30, ""min_dist"": 0.1, ""min_cluster_size"": 40, ""min_samples"": 5}",2,0.11701954920674842,0.13746630727762804,1.0,0,0,no cluster reached 2.0x enrichment at 0.30 purity; the best scoreable cluster was 1.2x at 1.00 purity (0.0),81.0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,metabolism,False,True,,101,"{""n_neighbors"": 5, ""min_dist"": 0.0, ""min_cluster_size"": 25, ""min_samples"": 10}",3,0.07340493110085523,0.07816862088218873,"(-6.18, -0.69]",3,0,,64.1
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,regulation and chromatin,False,True,,62,"{""n_neighbors"": 15, ""min_dist"": 0.0, ""min_cluster_size"": 40, ""min_samples"": 5}",3,0.0868012621570872,0.09345794392523364,"(-11.56, -0.68]",39,1,,66.1
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",regulation and chromatin,False,True,,124,"{""n_neighbors"": 5, ""min_dist"": 0.0, ""min_cluster_size"": 25, ""min_samples"": 5}",3,0.04539189665506216,0.05482134116495349,"(1.41, 3.36]",0,0,"no cluster reached 2.0x enrichment at 0.30 purity; the best scoreable cluster was 2.4x at 0.79 purity ((1.41, 3.36])",63.9
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,host interaction,False,True,,22,"{""n_neighbors"": 30, ""min_dist"": 0.0, ""min_cluster_size"": 96, ""min_samples"": 5}",2,0.4849497100814217,0.5681818181818181,1.0,83,0,,73.3
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,host interaction,False,True,,102,"{""n_neighbors"": 5, ""min_dist"": 0.1, ""min_cluster_size"": 25, ""min_samples"": 5}",3,0.06314781266597624,0.06957547169811322,"(-4.2, 0.14]",14,12,,60.0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,fitness and essentiality,False,True,,114,"{""n_neighbors"": 5, ""min_dist"": 0.0, ""min_cluster_size"": 25, ""min_samples"": 5}",3,0.04949945778776622,0.05514912774338774,"(-3.98, -0.44]",0,0,"no cluster reached 2.0x enrichment at 0.30 purity; the best scoreable cluster was 1.8x at 0.60 purity ((-3.98, -0.44])",67.5
"Which genes are under selection in host tissue but not in culture, and are they the genes the parasite also up-regulates in the macrophage niche?",fitness and essentiality,False,True,,102,"{""n_neighbors"": 5, ""min_dist"": 0.1, ""min_cluster_size"": 25, ""min_samples"": 5}",3,0.05350566024423492,0.05941704035874439,"(-488.0, -1.14]",0,0,"no cluster reached 2.0x enrichment at 0.30 purity; the best scoreable cluster was 1.9x at 0.62 purity ((0.0022, 569.32])",60.5
