question,axis,declared,shipped,expect_refusal,holdout,holdout_labelled,control,closure_ok,blocks,columns,removed_from_inputs,refusal,reason
Which genes respond to alkaline stress in the conversion reporter time course?,life-cycle stage and conversion,drop,False,False,stress_5-24_stress_green_48,7880,stress_6-16_stress_green_48,False,0,0,0,the validation holdout 'stress_6-16_stress_green_48' is not independent of the primary 'stress_5-24_stress_green_48' -- measured association. A control that is a copy controls nothing,"The holdout is one sample of the stress experiment whose sibling samples sit in the RNA inputs (restatement, criterion 3), and the control is another sample of that same experiment (criterion 4)."
Which genes are required for an oocyst to sporulate?,life-cycle stage and conversion,drop,False,False,expr_sporulated,7974,,True,23,157,7,,"Criterion 6: every fitness screen in the table is tachyzoite or mouse, so there is no requirement label for sporulation - the only sporulation columns are abundance, and the recipe would quietly answer 'expressed in oocysts' instead."
Can measurements predict how many transcript models a gene has?,life-cycle stage and conversion,drop,False,False,novel_transcript_models,798,n_holes,True,28,207,0,,"Passes criteria 1-4 and fails 5: transcript-model count is an annotation artefact of how the gene was assembled, and no knockout, antibody or imaging decision turns on it."
What is the overall structure of stage conversion across the genome?,life-cycle stage and conversion,drop,False,False,stage_enriched_derived,1911,,False,3,0,160,these inputs restate a holdout and were removed entirely rather than trimmed: biology: gene expression > RNA abundance,"Criterion 1: there is no wrong answer - any map produces 'structure', so nothing the recipe returns could contradict the question."
"Which uncharacterised proteins sit inside clusters that are almost entirely one enzyme class, and therefore come with a pathway to test?",relationships between genes,keep,True,False,ec_number,1313,compartment_best,True,51,224,4,,"Sequence and metabolic-pathway inputs are excluded because EC numbers are derived from them; hyperLOPIT is a separate experiment and pathway members should share a compartment, so the control is independent and dense (3855 genes)."
"Do the expanded Toxoplasma paralogue families actually behave as one unit, and which unassigned genes belong with them?",relationships between genes,keep,True,False,orthogroup,8140,stage_enriched_derived,True,40,78,3,,"Orthogroups are homology calls so every sequence input is barred; RNA is left out so the expression-derived stage control is not restated by the inputs, and family membership and stage restriction are independent facts about a gene."
"Which Toxoplasma-specific genes behave like conserved core machinery, and are those the ones the parasite cannot lose?",relationships between genes,keep,True,False,lineage_specific,8140,fit_invitro_hff,True,40,218,0,,"Sequence and orthology inputs are barred because the label is an orthology call; fitness is kept out so the CRISPR control stays independent of the map, and both holdouts cover the whole 8140-gene table."
Do the proteins whose phosphorylation goes up together form one signalling module - one that also shows up as calcium-responsive in thermal stability?,relationships between genes,keep,True,False,phospho_up_ratio,1182,cetsa_calcium_ed_score,True,31,69,0,,"PTM inputs are excluded because the phospho columns live there; CETSA calcium shift is a different experiment on a different readout, so a cluster agreeing on both is two observations, not one (1182 and 2348 genes labelled)."
Which uncharacterised proteins co-melt with the subunits of known complexes?,relationships between genes,uncertain,False,False,melting_temperature_tm,3120,n_crosslink_partners,True,34,72,2,,"The control has only 494 labelled genes spread over four classes, close to the sparsity that was measured to break cluster evaluation at 221; and melting temperature may be a physical property more than a complex signal, which puts criterion 5 in doubt."
Which pairs of proteins physically bind each other?,relationships between genes,drop,False,False,n_ipms_partners,8140,n_crosslink_partners,True,7,30,2,,"Criterion 6: a recipe assigns one label per gene and an edge between two genes is not a column; partner counts are the only per-gene stand-in and they answer 'how many partners', which is a different question."
"Which genes are Toxoplasma-specific, checked against whether they have a Plasmodium ortholog?",relationships between genes,drop,False,False,lineage_specific,8140,has_pf_ortholog,False,0,0,0,the validation holdout 'has_pf_ortholog' is not independent of the primary 'lineage_specific' -- measured association. A control that is a copy controls nothing,"lineage_specific is defined by the same ortholog calls that produce has_pf_ortholog, so the control is a restatement of the primary (criterion 4) - the same failure mode as pairing two LOPIT views."
Can domain content place a gene in its orthogroup?,relationships between genes,drop,False,False,orthogroup,8140,pfam_id,True,2,5,9,,Inputs and both holdouts come out of the same homology pipeline: the map restates the label (criterion 3) and pfam_id is a copy of the primary (criterion 4).
Which proteins have a reported interaction partner?,relationships between genes,drop,False,False,n_ipms_partners,8140,n_bioid_studies,True,9,41,0,,"Only 48 of 8140 genes are positive, so no cluster can hold the 15 labelled members an evaluation needs; and both columns record how often a gene was pulled into somebody's pulldown, not whether it has partners."
Which genes look like the ones that keep turning up in interaction studies?,relationships between genes,drop,False,False,n_ipms_studies,8140,n_bioid_studies,True,24,51,0,,"Both are study-participation counts - the attention_depth confound in another guise - so they measure what has been done to a gene rather than the gene (criterion 5), and they are not independent of each other (criterion 4)."
Which understudied genes behave like the well-studied ones?,relationships between genes,drop,False,False,attention_depth,2566,lit_tier,False,0,0,0,the validation holdout 'lit_tier' is not independent of the primary 'attention_depth' -- declared family (Tg_literature_attention). A control that is a copy controls nothing,"attention_depth is how much a gene has been written about and is a negative control only; recovering it reports publication bias rather than biology (criterion 5), and lit_tier comes from the same text mining (criterion 4)."
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",fitness and essentiality,keep,True,False,fit_invitro_hff,7325,brain168465_14d_lfc,True,36,229,10,,"No fitness input, so the seven-screen trap is avoided; primary and control are separate experiments (HFF competitive screen vs an independent in vivo brain library) with 7325 and 7334 labelled genes."
Which genes are required for growth in interferon-gamma-activated macrophages but dispensable in resting ones?,fitness and essentiality,drop,False,False,fit_ifng,7402,fit_naive_bmdm,False,0,0,0,the validation holdout 'fit_naive_bmdm' is not independent of the primary 'fit_ifng' -- shared experiment (crispr_macrophage). A control that is a copy controls nothing,"Fails criteria 3 and 4 together: the differential does not exist as a column, so asking it means feeding fit_naive_bmdm in as an input while holding out fit_ifng, and the two arms are one experiment measuring the same thing under two conditions."
Which genes are required for survival in the spleen specifically?,fitness and essentiality,drop,False,False,fit_invivo_spleen,7395,fit_invivo_liver,False,0,0,0,the validation holdout 'fit_invivo_liver' is not independent of the primary 'fit_invivo_spleen' -- measured association. A control that is a copy controls nothing,"Fails criterion 4: fit_invivo_spleen, liver, lung and PE are four organ readouts of one in vivo screen (all 7395 labelled), so a second organ is not a second observation."
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,fitness and essentiality,keep,True,False,crispr_gra17_synthlethal_delta,7553,fit_invivo_PE,True,27,211,0,,"The delta column is already normalised against the parental screen so ordinary essentiality is not restated, no fitness category is fed in, and the control is a different screen entirely - crispr_gra17_candidate and crispr_gra17ko_phenotype are barred as controls because they are the same experiment."
Which genes are essential in a GRA17 knockout background?,fitness and essentiality,drop,False,False,crispr_gra17ko_phenotype,7553,fit_invitro_hff,True,29,201,0,,"Fails criterion 5 and brushes criterion 3: the knockout-background fitness score is dominated by ordinary essentiality, so it re-derives fit_invitro_hff and changes nobody's next move; the informative column is the synthetic-lethal delta."
Which genes are required to persist in the brain during chronic infection but not during acute growth?,fitness and essentiality,keep,False,False,brain168465_14d_lfc,7334,fit_invivo_spleen,True,23,176,10,,"No fitness input; the 14-day brain library and the acute in vivo organ screen are separate experiments with 7334 and 7395 labelled genes, and chronic-versus-acute is a real contrast between two independent screens rather than two arms of one."
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,fitness and essentiality,keep,True,False,fit_invivo_lung,7395,brain168465_7d_lfc,True,22,175,11,,"Fitness is kept out of the inputs, the map is built only from parasite-host relationship and expression data, and the control is a different in vivo screen from a different library, so agreement between them is a second observation rather than a copy."
Which uncharacterised genes cause a replication defect when knocked out?,fitness and essentiality,uncertain,False,False,screen_replication_phenotype,318,fit_invitro_hff,True,29,201,0,,"Criterion 2 is technically met but density is the doubt: only 318 genes carry the imaging-screen label, and the measured floor in this table is that a 221-gene column cannot fill a cluster with 15 labelled members - 318 is in the same band, and the sibling screens (actin, egress, apicoplast) cannot serve as the control because they are one experiment."
Can co-fitness and co-expression recover how many nonsynonymous SNPs a gene carries across strains?,fitness and essentiality,drop,False,False,snp_nonsynonymous,8140,snp_total_all_strains,False,0,0,0,the validation holdout 'snp_total_all_strains' is not independent of the primary 'snp_nonsynonymous' -- shared experiment (plasmodb_pf3d7_attributes). A control that is a copy controls nothing,"Fails criterion 5 exactly as the brief's own length example does, and fails criterion 4 as well: a SNP-count bin is not a list anyone picks a knockout or an antibody from, and total SNPs is the same count with the synonymous ones added back."
Are essential genes distinguishable by their codon adaptation and GC3 content?,fitness and essentiality,drop,False,False,codon_cai_ribosomal,8140,codon_gc3,False,0,0,0,the validation holdout 'codon_gc3' is not independent of the primary 'codon_cai_ribosomal' -- measured association. A control that is a copy controls nothing,"Fails criterion 5 and criterion 4: nobody acts on a CAI bin, and CAI, GC3 and ENC are three statistics computed from one sequence, so the control is a copy - this is the sequence-statistic trap for this axis."
Which of the genes hyperLOPIT could not assign are nonetheless required in vivo?,fitness and essentiality,drop,False,False,fit_hyperlopit_unassigned_invivo_lib1,291,fit_hyperlopit_unassigned_invivo_lib2,False,0,0,0,the validation holdout 'fit_hyperlopit_unassigned_invivo_lib2' is not independent of the primary 'fit_hyperlopit_unassigned_invivo_lib1' -- measured association. A control that is a copy controls nothing,"Fails criterion 4 and density at once: lib1 and lib2 are two libraries of one screen, and at 291 and 290 labelled genes neither can put 15 labelled members in a cluster."
Which essential genes are druggable - essential in vivo and absent from the human genome?,fitness and essentiality,drop,False,False,,0,,False,0,0,0,the holdout '' is not a column in this table,"Fails criterion 6: neither CSV has a human-orthology, druggability or compound-target column; has_pf_ortholog and has_cp_ortholog are apicomplexan orthology and answer a different question."
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",metabolism,keep,True,False,has_ec,8140,compartment_best,True,52,258,0,,"Metabolism is excluded from the inputs because it contains the label, and so is sequence: EC numbers are assigned by homology, so pfam or interpro inputs would recover the label by predicting it, the same trap the brief names for localisation; the control is a single LOPIT view used alone, which the six-view refusal permits, and localisation is therefore kept out of the inputs."
Can expression and fitness data recover which enzyme class a protein belongs to?,metabolism,uncertain,False,False,ec_number,1313,compartment_best,True,46,214,4,,"Only 11 EC classes reach 15 members and the top ones are kinases, phosphatases and acetyltransferases, so the label tests signalling annotation rather than pathway membership; those classes cover only a few hundred of the 1313 labelled genes and I cannot tell from the CSVs whether any cluster reaches 15 same-class members."
"Which metabolic modules does the parasite need during infection of a living animal, and which uncharacterised genes cluster inside them?",metabolism,keep,False,False,fit_invivo_liver,7395,fit_invitro_hff,True,30,202,0,,"Metabolism is the input and fitness is the holdout, so the seven-screen trap does not apply; primary and control are separate screens (in vivo organ library vs the HFF competitive screen) and both are densely labelled."
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,metabolism,keep,True,False,oxidative_stress_screen_score,7384,fit_ifng,True,30,202,0,,"Neither fitness nor chemical response is admitted as an input, so the score cannot be recovered from general essentiality; the macrophage screen is an independent experiment in which the same redox genes should matter. Residual risk: if the score is a raw dropout rather than a stress-normalised one, general essentiality leaks into the label itself."
Which genes act in the apicoplast type II fatty acid synthesis pathway?,metabolism,drop,False,False,compartment_best,3855,,True,52,258,0,,"Fails criterion 6 as asked: neither CSV carries a pathway-membership column, and the only proxy - the compartment label - is the LOPIT localisation experiment, which turns a metabolism question into a localisation recipe answering something else."
Do metabolite levels track the expression of the enzymes that produce them?,metabolism,drop,False,False,,0,,False,0,0,0,the holdout '' is not a column in this table,"Fails criterion 6: there are no metabolomics columns in either CSV, so there is nothing to hold out - the table measures genes, not metabolites."
Which transporters import which host-derived nutrients?,metabolism,drop,False,False,interpro_desc,4957,,True,50,227,0,,"Fails criteria 3 and 6: transporter identity exists in this table only inside interpro and pfam annotation, which is sequence-derived, so any map admitting sequence recovers the class by predicting it, and no substrate or transport-assay column exists at all."
"Which metabolic enzymes are lysine-acetylated, linking them to acetyl-CoA availability?",metabolism,drop,False,False,n_acetylation_sites,3921,n_lactylation_sites,True,45,212,0,,"Fails criterion 5 because absence is not a class: only proteins that have sites are labelled, so the holdout separates site-count strata among already-acetylated proteins rather than acetylated from unacetylated. The same defect sinks n_nitrosylation_sites, n_lactylation_sites, n_ubiquitination_sites and n_o_fucosyl_peptides."
Which proteins are intrinsically thermostable in the parasite proteome?,metabolism,drop,False,False,melting_temperature_tm,3120,cetsa_calcium_ed_score,True,29,201,1,,"Fails criterion 4 and criterion 5: the melting temperature and the calcium shift score are two readouts of one thermal-proteome experiment, and a Tm bin on its own changes nobody's next experiment."
Which proteins change thermal stability in the presence of calcium - which are the candidate calcium-regulated enzymes?,metabolism,uncertain,False,False,cetsa_calcium_ed_score,2348,n_phosphosites,True,45,212,0,,"The question itself is actionable (a pulldown list of candidate Ca2+-binding proteins) but the only independent control I can find is the phosphoproteome at 1175 labelled genes, and I cannot tell whether that puts 15 labelled members in any cluster; the melting temperature column is barred as a control because it is the same experiment."
Which metabolic enzymes switch on in sporulated oocysts?,metabolism,drop,False,False,expr_sporulated,7974,oocyst_itraq_115_113,True,30,60,8,,"Fails criterion 3 twice over: the oocyst iTRAQ columns measure the same stage on the other molecule, so the control restates the primary, and expr_sporulated itself sits inside gene expression > RNA abundance, which the map would have to admit as an input to work at all."
Can the map recover how many synonymous SNPs or how long an enzyme is?,metabolism,drop,False,False,snp_synonymous,8140,length,False,0,0,0,the validation holdout 'length' is not independent of the primary 'snp_synonymous' -- measured association. A control that is a copy controls nothing,"Fails criterion 5, stated explicitly because it is the standing trap for this axis: snp_synonymous, snp_total_all_strains, codon_enc, codon_gc3, length and mean_plddt all pass criteria 1 to 4 and change nothing about what anyone does next."
Which transcripts does the bradyzoite RNA-binding regulator BFD2 hold - which mRNAs are its targets beyond the known ones?,regulation and chromatin,keep,False,False,bfd2_rip_log2_ip_over_input,7463,cuttag_hdac3_promoter_ut,True,28,207,0,,"The RIP value is IP-over-input, so transcript abundance is normalised out and the RNA inputs do not restate it; the HDAC3 CUT&Tag control is a different molecule, assay and laboratory, and both are densely labelled (7463 and 8140)."
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,regulation and chromatin,keep,True,False,ees_vs_tachyzoite_log2,7739,sexual_stage_8dpi_log2fc,True,27,32,0,,"No expression input, so the holdout differential is not fed back in; primary and control are two independent sexual-stage datasets (7739 vs 4463 labelled, so different studies) that should agree if the tachyzoite repression model is right, and fitness is a legal input because the holdout is not a fitness screen."
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",regulation and chromatin,keep,True,False,cuttag_hdac3_promoter_ut,8140,sexual_stage_8dpi_log2fc,True,33,49,0,,"Expression is deliberately excluded because accessibility and occupancy track transcript level directly, which is the same predicts-the-label trap the brief names for sequence and localisation; what remains - dispensability plus secretory localisation - is real biology, and the control is an independent in vivo expression measurement that is not an input."
"Which promoters are open, and can expression data tell you?",regulation and chromatin,drop,False,False,atac_promoter_ut,7988,h4_acetylation_chip_score,True,31,232,0,,"Fails criterion 3: promoter accessibility tracks transcript abundance, so an RNA-fed map recovers the ATAC label by predicting it rather than by finding biology - the same trap the brief names for sequence features and localisation. The H4ac control has the same defect."
Which genes carry active-chromatin histone marks?,regulation and chromatin,drop,False,False,h4_acetylation_chip_score,7515,cuttag_hdac3_promoter_ut,True,44,211,0,,"Fails criterion 4: HDAC3 is the enzyme that removes histone acetylation, so the control is the mechanistic inverse of the primary and not an independent observation; the RNA input also makes it the accessibility-tracks-expression trap again."
Which genes are derepressed when the MORC repressor is degraded?,regulation and chromatin,drop,False,False,morc_MORC_IAA1,7841,morc_MORC_UT1,False,0,0,0,the validation holdout 'morc_MORC_UT1' is not independent of the primary 'morc_MORC_IAA1' -- shared experiment (morc_depletion). A control that is a copy controls nothing,"Fails criteria 4 and 6 as posed: the morc_* columns are per-sample RNA abundances for each genotype, not a depletion contrast, so a single sample binned in three encodes expression level and any two of them are one experiment - the derepression log-fold-change the question needs is not a column."
Which transcripts depend on CPSF4 for correct polyadenylation?,regulation and chromatin,drop,False,False,cpsf4rna168155_iaa_24h_1,7869,cpsf4rna168155_ut_1,False,0,0,0,the validation holdout 'cpsf4rna168155_ut_1' is not independent of the primary 'cpsf4rna168155_iaa_24h_1' -- measured association. A control that is a copy controls nothing,"Same defect as the MORC recipe: cpsf4rna168155_* are per-sample abundances at 7, 24 and 48 hours of auxin plus untreated, the IAA-versus-UT contrast is not a column, and pairing two samples as primary and control is one experiment (criterion 4)."
Which uncharacterised proteins are transcription factors of the AP2 family?,regulation and chromatin,drop,False,False,pfam_id,4310,interpro_id,False,0,0,0,the validation holdout 'interpro_id' is not independent of the primary 'pfam_id' -- shared experiment (interpro). A control that is a copy controls nothing,"Fails criteria 3 and 4: the only transcription-factor label in this table is the AP2 domain inside pfam_id and interpro_id, which is sequence-derived, so the class is recovered by prediction, and the two annotation columns are the same assignment under two databases."
"Which genes are cell-cycle regulated, built from protein and chromatin data rather than RNA?",regulation and chromatin,drop,False,False,cellcycle_phase,873,cellcycle_pseudotime,False,0,0,0,the validation holdout 'cellcycle_pseudotime' is not independent of the primary 'cellcycle_phase' -- declared family (Tg_cell_cycle_timing_label). A control that is a copy controls nothing,"Fails criterion 4: phase and pseudotime are two readouts of one single-parasite RNA-seq experiment. The only independent cell-cycle columns, the cellcycle19092 bulk time course, are per-timepoint abundances whose three-bin split encodes expression level rather than phase, so no legal control exists."
Which uncharacterised genes belong to the BFD1 and MORC controlled bradyzoite regulon?,regulation and chromatin,uncertain,False,False,expr_cyst,7739,rna22258_bradyzoite,True,28,55,0,,"I cannot tell from the CSVs how much of the gene regulation category is accessibility and acetylation data that tracks transcript level directly; if it dominates, the chromatin inputs recover the expression holdout by prediction rather than by biology, which is the same objection that sinks the ATAC recipe run in the other direction."
Which transcripts are destabilised by m6A methylation?,regulation and chromatin,drop,False,False,mrna_remaining_5h_actinomycin,412,n_m6a_peaks,True,31,232,0,,"Fails on density and criterion 4: at 412 labelled genes the primary sits in the band where the measured 221-gene floor bites, and m6A peak count is the mechanistic cause of the decay the primary measures, so the control is close to a copy rather than an independent observation."
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,host interaction,keep,True,False,pvm_proximity_positive,1274,crispr_gra17_candidate,True,42,249,0,,"keep - pvm_proximity_positive has 1274 labelled genes in 2 classes of >=15 and leaves 6866 unlabelled to nominate; the control is a CRISPR synthetic-lethal screen (7553 labelled), a different experiment from the proximity labelling, and no input carries interaction, proximity or provenance data. Two caveats stated up front: at 15.7% labelled only clusters of roughly 100+ genes will carry the >=15 labelled genes needed to score, and the control's positive class is only 118 genes so it can confirm but rarely contradict."
Which unlabelled genes belong to the parasitophorous-vacuole nutrient-pore network - which genes sit in clusters enriched for a large fitness delta in a GRA17 knockout background?,host interaction,keep,False,False,crispr_gra17_synthlethal_delta,7553,pvm_proximity_positive,True,35,203,0,,"keep - 7553 labelled at 3 bins, 587 unlabelled to nominate; the control is proximity labelling at the PVM (1274 labelled), a physically different assay from a pooled CRISPR screen; all genetic-screen and fitness input categories are excluded so nothing restates the delta. It is deliberately the reciprocal of the PVM recipe: the two use the same pair of columns in opposite roles and should agree, which is a coherence check, not a duplicate claim."
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,host interaction,keep,True,False,fit_naive_bmdm,7402,macrophage_expression_percentile,True,27,93,1,,"keep - fit_naive_bmdm has 7402 labelled at 3 bins with 738 unlabelled to nominate, and the control is a transcript-level measurement labelled for all 8140 genes, so it can be scored on every cluster. The control is a different measurement type from the primary, which is the strongest form of independence available on this axis. RNA inputs are excluded because they would restate the expression control, and all genetic-screen and fitness inputs are excluded because they would restate the primary."
"Which proteins face the host cell, built from the parasite-host interactome together with proximity data?",host interaction,drop,False,False,pvm_proximity_positive,1274,crispr_gra17_candidate,True,5,49,0,,"drop - criterion 3: pvm_proximity_positive IS a parasite-host proximity measurement, so parasite-host relational inputs contain the holdout; the map would recover the label by carrying it rather than by finding biology. The same recipe with those two input categories removed is the keep above."
