number,key,name,method,family,effect,hidden,metric,min_effect,n_hidden,note,null_high,null_kind,null_mean,null_sd,observed,p_value,seconds,verdict,skill,task,scorecard
11,layer_propagation,Diffuse a label across one measured network (random walk with restart),random walk with restart,Walk the networks,0.09631966351209255,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,951,,0.041114616193480544,10 runs on shuffled labels,0.030914826498422716,0.00589604448743478,0.12723449001051526,0.09090909090909091,0.5,PASS,,,
12,layer_vote,"Let every network vote, weighted by what it has earned (chance-weighted ensemble vote)",chance-weighted ensemble vote,Walk the networks,0.30725552050473187,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,951,,0.14321766561514196,5 runs on shuffled labels,0.10178759200841218,0.04487633489449878,0.40904311251314407,0.16666666666666666,1.0,PASS,,,
13,physical_partners,Place a protein by the proteins it physically touches (weighted partner vote),weighted partner vote,Walk the networks,0.4505,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,300,,0.0975,20 runs on shuffled labels,0.06949999999999999,0.016940254491070145,0.52,0.047619047619047616,0.2,PASS,,,
14,structural_homology,Annotate function through shared fold (TM-score-weighted vote),TM-score-weighted vote,Walk the networks,0.515406976744186,"25% of the ec_number labels, whole orthogroups at a time",correct calls per hidden gene,0.05,172,,0.3014534883720931,20 runs on shuffled labels,0.25203488372093025,0.0439049735328404,0.7674418604651163,0.047619047619047616,0.1,PASS,,,
15,multiplex_modules,Find the communities several networks agree on (modularity + Louvain consensus),modularity + Louvain consensus,Walk the networks,0.03203387246346498,"25% of the compartment labels, whole orthogroups at a time",F1 of hidden genes in the community chosen for their label on known genes,0.05,948,,0.1452712099367472,100 permutations of the hidden genes' labels over the same chosen communities,0.13729268771966296,0.005710759510353587,0.16932656018312794,0.009900990099009901,0.2,FAIL,,,
16,link_prediction,Predict the contacts an interactome missed (logistic regression),logistic regression,Walk the networks,0.2760273390431335,20% of the xlms edges (568),AUROC of hidden pairs against degree-matched non-pairs,0.05,568,,0.5081960881369152,5 models trained with every gene's evidence read from a random other gene,0.502596659116931,0.004581075480890116,0.7786239981600644,0.16666666666666666,1.0,PASS,,,
17,attention_correction,"Read the literature for biology, not fame (publication-count residual)",publication-count residual,Walk the networks,0.36025,"the compartment labels, never used to build the literature layer",share of the top 200 corrected pairs sharing a compartment label,0.05,200,,0.446,20 random sets of co-mentioned pairs,0.38975,0.03713068138345969,0.75,0.047619047619047616,0.0,PASS,,,
18,unwritten_links,List what the data says and the literature has not written (multi-layer support count),multi-layer support count,Walk the networks,0.05603396223076401,"the literature's 7,659 co-mentioned pairs, never used to count measurement support",AUROC of hidden pairs against random non-pairs,0.02,7659,,0.5004386412673338,10 runs with the measurement layers' gene identities permuted,0.49982371086834715,0.0004225455630776197,0.5558576730991112,0.09090909090909091,0.3,PASS,,,
19,supervised_classifier,Train a classifier on the known genes and call the rest (logistic regression),logistic regression,Learn from examples,0.38117936623245663,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,951,,0.09380936266661702,the analytic chance level,0.07938845711139196,0.008766507936307023,0.4605678233438486,0.0,11.8,PASS,,,
20,positive_unlabeled,"Learn what makes your list special, from positives alone (PU bagging, logistic regression)","PU bagging, logistic regression",Learn from examples,0.44853154278575896,30% of the 'PM - integral' genes of compartment (135 genes),AUROC of hidden members against every other gene,0.1,40,,0.5607990318550906,10 random sets of the same size,0.4761124297314178,0.055998608579375365,0.9246439725171768,0.09090909090909091,12.4,PASS,,,
21,trait_regression,"Predict a measurement, and find the genes that defy the prediction (gradient boosting / ridge)",gradient boosting / ridge,Learn from examples,0.7292379206588524,20% of the measured fit_invitro_hff values,rank correlation of predicted and hidden values,0.1,1465,,0.0429927637194963,the chance distribution of a rank correlation,0.0,0.026135418674465834,0.7292379206588524,1.2515061032550454e-171,14.2,PASS,,,
22,masked_imputation,"Fill in what was never measured, and say where that is honest (soft-impute, low-rank SVD)","soft-impute, low-rank SVD",Learn from examples,0.8694766884020396,10% of every column's measured entries,median per-column rank correlation on hidden entries,0.1,224496,,0.0019730379314933286,3 completions of the table with each column shuffled independently,0.0005463257533810248,0.001476146378680816,0.8700230141554206,0.25,156.1,PASS,,,
23,condition_shift,"Find what matters more in one condition, and why (residual + gradient boosting / ridge)",residual + gradient boosting / ridge,Learn from examples,0.03765461999621553,20% of the fit_invivo_PE-specific shift,rank correlation of predicted and hidden values,0.1,1465,,0.0429927637194963,the chance distribution of a rank correlation,0.0,0.026135418674465834,0.03765461999621553,0.0748275778151257,1456.4,FAIL,,,
24,set_enrichment,Describe what your gene list has in common (hypergeometric + rank-sum),hypergeometric + rank-sum,Start from a gene list,0.4071330418488445,40% of the 'PM - integral' genes of compartment (135 genes),AUROC of hidden members against every other gene,0.1,54,,0.5,10 random sets of the same size,0.4999250468457214,0.00022485946283573585,0.907058088694566,0.09090909090909091,21.9,PASS,,,
25,seed_expansion,Grow your gene list along the networks (random walk with restart),random walk with restart,Start from a gene list,0.32905059337913817,30% of the 'PM - integral' genes of compartment (135 genes),AUROC of hidden members against every other gene,0.1,40,,0.5318069956277327,10 random sets of the same size,0.4953841349156776,0.03289199241212956,0.8244347282948158,0.09090909090909091,0.1,PASS,,,
26,split_clusters,Find categories that split in two on another measurement (UMAP + HDBSCAN),UMAP + HDBSCAN,Contrast and combine layers,,half of the genes' clusters that share a lopit_unified and split on dtm_class,share of findings that replicate,0.2,0,"only 0 findings on the first half, 3 needed",,the second half scrambled,,0.0,,1.0,0.0,INCONCLUSIVE,,,
27,conjunctions,Find kinds of gene defined by two labels at once (UMAP + HDBSCAN),UMAP + HDBSCAN,Contrast and combine layers,0.6666666666666666,"lopit_unified x dtm_class combinations made on half the genes, checked on the other half",share of first-half findings that replicate on the second half,0.2,3,,0.0,20 runs with the second half scrambled,0.0,0.0,0.6666666666666666,0.047619047619047616,0.1,PASS,,,
28,paralog_divergence,Find paralogs that changed jobs (profile correlation),profile correlation,Contrast and combine layers,0.05234764008696269,"the compartment labels, withheld from the profiles",AUROC of profile divergence for paralogs with different compartment,0.05,535,,0.5412502629917947,20 random reassignments of divergence to pairs,0.49407917806297774,0.02992075168464663,0.5464268181499404,0.047619047619047616,0.5,PASS,,,
29,ortholog_transfer,Carry what one parasite shows to the other (orthogroup mapping),orthogroup mapping,Cross species and strata,0.31262570362652103,25% of the genes measured in both species,rank correlation of transferred and hidden values,0.1,681,,0.0547766098543476,20 runs with the orthologs' values dealt to random genes,0.00037195470881355144,0.03784444935534294,0.3129976583353346,0.047619047619047616,0.0,PASS,,,
30,stratum_focus,Test inference on the genes orthology cannot reach (kNN),kNN,Cross species and strata,0.2373170731707317,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,410,,0.07451219512195122,10 runs on shuffled labels,0.05292682926829269,0.014390243902439023,0.29024390243902437,0.09090909090909091,1.5,PASS,,,
31,triangulation,Call a gene only when independent strategies agree (kNN + logistic + network vote),kNN + logistic + network vote,Combine strategies,0.3815529003870626,"25% of the compartment labels, whole orthogroups at a time; 622 calls made on 951 hidden genes",precision of calls on hidden genes,0.1,622,,0.17067066316972648,5 runs on shuffled labels,0.15703230861615283,0.01054338575815986,0.5385852090032154,0.16666666666666666,56.5,PASS,,,
32,understudied_first,Put the understudied genes first (kNN + logistic + network vote),kNN + logistic + network vote,Combine strategies,0.36139411229510493,"25% of the compartment labels, whole orthogroups at a time; 538 calls made on 820 hidden genes",precision of calls on hidden genes,0.1,538,,0.18064449199247876,5 runs on shuffled labels,0.1664869285970884,0.012419466159910145,0.5278810408921933,0.16666666666666666,56.4,PASS,,,
33,neighbour_space,Put every layer into one space and read a gene's neighbourhood (logistic edge model),logistic edge model,Combine strategies,0.28635133202297836,"the coexpression edges between held-out orthogroups (3,023), the coexpression layer itself removed from the features",AUROC of hidden coexpression edges against degree-matched non-pairs,0.05,3023,,0.49955433389348125,10 configuration-model rewirings of the hidden edges,0.4916069148677411,0.007456472726905531,0.7779582468907195,0.09090909090909091,5.4,PASS,,,
34,network_training,Train on the networks and rank the edges they are missing (logistic / spectral embedding),logistic / spectral embedding,Combine strategies,0.28635133202297836,"the coexpression edges between held-out orthogroups (3,023), the coexpression layer itself removed from the features",AUROC of hidden coexpression edges against degree-matched non-pairs,0.05,3023,,0.49955433389348125,10 configuration-model rewirings of the hidden edges,0.4916069148677411,0.007456472726905531,0.7779582468907195,0.09090909090909091,4.5,PASS,,,
35,conformal_calls,Call genes with a stated error rate (split conformal prediction),split conformal prediction,Advanced models,0.505568509120834,"25% of the compartment labels, whole orthogroups at a time",set efficiency: 1 - (mean set size - 1) / (classes - 1),0.05,951,,0.28771316234627164,"10 runs on shuffled labels, calibrated the same way",0.25107209802039043,0.024233487072956836,0.7566406071412244,0.09090909090909091,36.8,PASS,0.6750563142119368,label calls,"{'accuracy': 0.002103049421661409, 'coverage': 0.002103049421661409, 'precision_of_calls': 1.0, 'macro_precision': 0.08333333333333333, 'macro_recall': 0.003888188314417823, 'macro_f1': 0.00729646697388633, 'weighted_f1': 0.00402196087552758, 'kappa': 0.002021392704187755, 'mcc': 0.032822421931897744, 'macro_auroc': 0.9139365321120123, 'macro_auprc': 0.4523434590737471}"
36,graph_convolution,"Smooth the measurements along the networks, then classify (graph convolution + logistic regression)",graph convolution + logistic regression,Advanced models,0.40774391005759614,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,951,,0.09806007269506008,the analytic chance level,0.08331812990034287,0.008961667352411672,0.491062039957939,0.0,27.5,PASS,0.4448041609171001,label calls,"{'accuracy': 0.491062039957939, 'coverage': 1.0, 'kappa': 0.4448041609171001, 'macro_auprc': 0.48825580052791934, 'macro_auroc': 0.9226121743542451, 'macro_f1': 0.4313284674153044, 'macro_precision': 0.415280697768272, 'macro_recall': 0.4953508431185519, 'mcc': 0.44611887529984096, 'precision_of_calls': 0.491062039957939, 'weighted_f1': 0.5000170493958244}"
37,random_forest,Let a random forest find what defines a label (random forest + permutation importance),random forest + permutation importance,Advanced models,0.38396795226896036,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,951,,0.13031743505205032,the analytic chance level,0.1134032359539629,0.010282187901572898,0.49737118822292326,1.6455386271664125e-305,2.2,PASS,0.43308070572770846,label calls,"{'accuracy': 0.49737118822292326, 'coverage': 1.0, 'kappa': 0.43308070572770846, 'macro_auprc': 0.5060904849707711, 'macro_auroc': 0.9113004111508864, 'macro_f1': 0.43525225940273254, 'macro_precision': 0.508345264567802, 'macro_recall': 0.4199616397412811, 'mcc': 0.43776613944207404, 'precision_of_calls': 0.49737118822292326, 'weighted_f1': 0.47938951984418543}"
38,stacking,Learn how much to trust each kind of evidence (stacked logistic regression),stacked logistic regression,Advanced models,0.3893328291322102,"25% of the compartment labels, whole orthogroups at a time",correct calls per hidden gene,0.05,951,,0.08952901456535607,the analytic chance level,0.07544109305496122,0.00856408602455614,0.4647739221871714,0.0,42.1,PASS,0.42110116100515205,label calls,"{'accuracy': 0.4647739221871714, 'coverage': 1.0, 'kappa': 0.42110116100515205, 'macro_auprc': 0.5346003464372294, 'macro_auroc': 0.9252038776167734, 'macro_f1': 0.44632464821631773, 'macro_precision': 0.43246234645722215, 'macro_recall': 0.5454198444618977, 'mcc': 0.42399860807768597, 'precision_of_calls': 0.4647739221871714, 'weighted_f1': 0.4804189254765808}"
39,conformal_values,Predict a value with an interval that holds (gradient boosting / ridge + split conformal),gradient boosting / ridge + split conformal,Advanced models,0.7261023445936007,20% of the fit_invitro_hff values,rank correlation of predicted and hidden values,0.1,1465,,0.0429927637194963,the chance distribution of a rank correlation,0.0,0.026135418674465834,0.7261023445936007,3.548121375346575e-170,3.6,PASS,0.7261023445936007,values,"{'bottom_decile_recall': 0.3561643835616438, 'kendall': 0.5237912652791112, 'mae': 1.239744739490562, 'nrmse': 0.697633885951108, 'pearson': 0.7164742958777447, 'r2': 0.5133069611727565, 'spearman': 0.7261023445936007, 'top_decile_recall': 0.4315068493150685, 'value_coverage': 1.0}"
